,Features,Parameters_knn,RMSE,Sample_size,Runtime
0,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8029696681492697,10000,115.16822671890259
1,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8041002578633709,10000,115.16928935050964
2,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8052300253617909,10000,123.20822310447693
3,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8053156981476272,10000,109.98820924758913
4,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8054903119778545,10000,115.78577709197998
5,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8058406616350682,10000,138.39566612243652
6,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 250']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.806252083777133,10000,133.7806680202484
7,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8066553617406007,10000,119.61777400970459
8,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8069542252453067,10000,134.882896900177
9,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8077465645337798,10000,123.45428609848022
10,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8079916980802876,10000,157.93913984298706
11,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8088508406748491,10000,129.65437006950378
12,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8097274881281815,10000,128.84725594520572
13,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8102001356760321,10000,115.644944190979
14,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8127474416635002,10000,116.03835487365723
15,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 100']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8128712524765341,10000,113.95760989189148
16,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8138220918521455,10000,135.45510911941528
17,"['Year', 'Runtime', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 100']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8149204139664463,10000,128.8043351173401
18,"['Year', 'Runtime', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 150']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8153582212064148,10000,119.67411994934082
19,"['Year', 'Runtime', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8154853841773637,10000,131.59796404838562
20,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8155846287582097,10000,114.65119194984436
0,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8156703395237874,10000,114.41382098197937
21,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 250']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8162049747109328,10000,133.9206919670105
22,"['Year', 'Runtime', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8163598847254125,10000,120.50748515129091
23,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8164344773870591,10000,118.85580396652222
24,"['Year', 'Runtime', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8165844824293714,10000,118.89672207832336
25,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8169002123262992,10000,122.68344211578369
26,"['Year', 'Runtime', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 150']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8169987955587478,10000,123.670902967453
27,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8171380877023218,10000,114.79733490943909
28,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8174053977203035,10000,115.75218296051024
29,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8178402244198376,10000,123.97296905517578
30,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8178918574766015,10000,117.93568396568298
31,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8180211502976062,10000,115.92351603507996
32,"['Year', 'Runtime', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 250']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8182225753721095,10000,157.79675102233887
33,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8183236835956205,10000,116.49007630348206
34,"['Year', 'Runtime', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 100']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8202692700444342,10000,117.79010796546936
35,"['Year', 'Runtime', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8205036886300728,10000,122.87663388252258
36,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 200']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8205430571060478,10000,120.31161689758301
37,"['Year', 'Runtime', 'imdbVotes', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8211727748233687,10000,150.04128694534305
38,"['Year', 'Runtime', 'imdbVotes', 'Awards', 'imdb_ratings', 'RottenTomatoes_Rating', 'Metacritic_Rating', 'PG_Rating', 'Directors: 150']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8218624717400154,10000,114.98717832565308
